Lon,Lat,Year,Month,Day,Mag,Depth,Hour,Minute,Second,eventID,pvalue,HFassoc,assocwells
-103.0974,32.1617,2009,10,25,2.3,5.2,14,5,53,16965909,NaN,0,
-102.5467,33.3302,2009,10,30,1.7,3.6,12,41,10.28,None,NaN,0,
-104.6444,32.5774,2009,10,31,1.6,5.7,20,25,33,16966346,NaN,0,
-102.7456,31.9891,2009,11,2,2.2,4.3,0,27,17,16966388,NaN,0,
-100.8963,32.8747,2009,11,15,2.3,5,18,41,30.64,None,NaN,0,
-104.6478,32.5678,2009,11,17,3.1,3,7,27,23.71,NM_357,NaN,0,
-104.6732,32.5478,2009,11,17,3,3,18,53,6.46,NM_358,NaN,0,
-104.673,32.5407,2009,11,17,2.3,3,19,7,36.94,NM_359,NaN,0,
-104.6407,32.5797,2009,11,17,2.7,5.7,19,8,7,16966732,NaN,0,
-104.6482,32.5795,2009,11,17,1.8,6,19,42,41,16966734,NaN,0,
-104.6477,32.5779,2009,11,20,1.8,5.5,4,9,34,302193269,NaN,0,
-100.8744,32.9113,2009,11,26,2,5,15,20,38.47,None,NaN,0,
-104.6451,32.5771,2009,11,27,1.9,5.5,5,26,56,16966983,NaN,0,
-104.778,32.5257,2009,11,27,2,3,5,35,1.66,NM_362,NaN,0,
-104.6444,32.58,2009,11,27,1.6,5.6,5,35,32,16966984,NaN,0,
-104.4799,32.3653,2009,11,30,1.9,7.4,11,3,16,16967061,NaN,0,
-104.4813,32.3635,2009,11,30,1.6,7.3,11,36,9,16967062,NaN,0,
-104.4518,32.4178,2009,12,4,2.1,6.9,22,6,28,16967161,NaN,0,
-104.4612,32.4152,2009,12,5,1.7,8.5,19,33,58,16967174,NaN,0,
-104.6995,32.5308,2009,12,10,2.8,3,4,44,20.89,NM_364,NaN,0,
-104.6853,32.5333,2009,12,11,2.5,3,15,29,47.68,NM_365,NaN,0,
-104.6495,32.5832,2009,12,11,1.6,5.9,17,24,20,302192959,NaN,0,
-104.653,32.5879,2009,12,12,1.6,5.8,11,6,37,302193452,NaN,0,
-104.6033,32.683,2009,12,23,1.6,6,1,31,17.72,None,NaN,0,
-104.5742,32.542,2009,12,24,2,3,19,41,38.75,NM_367,NaN,0,
-104.6418,32.5796,2009,12,24,2.1,5.7,19,42,5,16967858,NaN,0,
-100.8972,32.9359,2009,12,28,2,5,11,56,7.33,None,NaN,0,
-100.8956,32.9374,2010,1,5,2.1,5,13,36,11.38,None,NaN,0,
-104.649,32.5877,2010,1,6,2.3,6.5,7,14,16,17530348,NaN,0,
-100.886,32.9475,2010,1,8,2.1,5,6,17,42.86,None,NaN,0,
-104.6437,32.5746,2010,1,8,2,5.5,15,43,48,17530373,NaN,0,
-100.8859,32.9474,2010,1,8,2.6,5,21,27,8.08,None,NaN,0,
-104.6435,32.5816,2010,1,10,1.5,5.4,13,42,54,302194462,NaN,0,
-104.6463,32.5767,2010,1,10,3,5.9,16,56,29,17530401,NaN,0,
-104.6432,32.6319,2010,1,14,1.8,4,2,20,43,17530473,NaN,0,
-104.6482,32.5789,2010,1,17,2.5,6.6,17,28,48,17530538,NaN,0,
-104.6468,32.5773,2010,1,21,2,5.7,23,59,42,17530635,NaN,0,
-104.6452,32.5809,2010,1,27,1.9,5.6,2,38,57,17530703,NaN,0,
-100.9005,32.8716,2010,1,27,3.1,5,4,59,32.39,None,NaN,0,
-100.9049,32.8691,2010,1,27,2.9,5,6,25,43.95,None,NaN,0,
-100.913,32.8975,2010,1,31,2.2,2.2,15,0,48,17530780,NaN,0,
-100.9038,32.9307,2010,2,6,2.3,5,5,4,8.87,None,NaN,0,
-100.9025,32.8815,2010,2,10,2.4,5,2,51,41.66,None,NaN,0,
