EventID,Evaluation Status,Origin Date,Origin Time,Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1 st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Last Updated
texnet2017qgjd,final,2017-08-20,04:00:59,1.7,,32.8702,0.8,-100.9038,0.6,6.2,7.0,0.6,0.1,18,11,TXNet,earthquake,Western Texas,358,78,-176,267,86,-12,first motion,,,121.11119107605,2017-10-13 18:50:00
texnet2017pwel,final,2017-08-14,14:16:04,2.2,,32.9269,0.9,-100.8759,0.7,5.7,6.5,1.6,0.1,20,12,TXNet,earthquake,Western Texas,93,89,19,3,71,179,first motion,,,120.15436621828498,2017-10-12 21:30:53
texnet2017pukn,final,2017-08-13,15:05:44,2.7,,32.8867,0.8,-100.8845,0.6,6.6,7.4,0.7,0.2,24,13,TXNet,earthquake,Western Texas,107,67,-168,13,79,-23,first motion,,,119.77735634613,2017-10-12 21:29:20
texnet2017ptdk,final,2017-08-12,22:20:58,2.9,,32.8958,0.7,-100.8866,0.6,6.0,6.8,0.7,0.2,22,12,TXNet,earthquake,Western Texas,90,82,5,360,85,171,first motion,,,120.21841642860001,2017-10-12 21:28:17
texnet2017pmve,final,2017-08-09,11:22:20,2.8,,32.9269,0.8,-100.8674,0.6,4.9,5.6,1.6,0.2,21,12,TXNet,earthquake,Western Texas,106,67,18,9,74,156,first motion,,,119.38472201974498,2017-10-12 21:25:30
texnet2017pmco,final,2017-08-09,01:57:15,3.0,,32.9233,0.8,-100.8695,0.5,4.5,5.2,1.6,0.1,21,12,TXNet,earthquake,Western Texas,94,85,30,2,60,175,first motion,,,119.46508976272499,2017-10-12 21:24:48
texnet2017pjvs,final,2017-08-07,20:14:24,2.3,,32.9196,0.6,-100.8631,0.7,4.2,4.9,1.2,0.2,23,13,TXNet,earthquake,Western Texas,101,87,38,8,52,176,first motion,,,118.77620982853499,2017-10-12 21:23:14
texnet2017pecz,final,2017-08-04,17:05:36,2.8,,31.1589,1.2,-103.2473,1.1,6.3,7.1,2.7,0.3,19,15,TXNet,earthquake,Western Texas,161,89,-52,252,38,-179,Moment Tensor,135.5184813,0.8023098066,172.07962120944,2020-05-28 21:13:20
texnet2017ogxp,final,2017-07-23,00:14:11,2.0,,31.3633,1.1,-103.5052,0.9,0.8,1.6,1.3,0.3,12,10,TXNet,earthquake,Western Texas,151,67,-45,262,49,-149,first motion,,,155.10474773766,2019-05-24 15:29:25
texnet2017ofwk,final,2017-07-22,10:30:21,2.6,,32.8793,1.1,-100.8952,0.7,5.4,6.1,0.9,0.2,18,10,TXNet,earthquake,Western Texas,90,84,-54,188,36,-170,first motion,,,87.6177311137065,2017-10-13 17:44:12
texnet2017obxk,final,2017-07-20,06:28:57,2.3,,31.3826,1.2,-103.4934,1.0,4.2,5.0,1.4,0.3,22,18,TXNet,earthquake,Western Texas,45,2,14,301,90,92,first motion,,,231.31843755142498,2019-05-24 15:28:58
texnet2017nnah,final,2017-07-12,02:54:13,2.0,,32.0883,1.3,-102.2565,0.8,0.3,1.2,1.4,0.2,17,15,TXNet,earthquake,Western Texas,90,55,-43,209,56,-136,first motion,,,198.89813846983498,2017-10-13 17:19:13
texnet2017njwr,final,2017-07-10,09:38:19,2.3,,32.8336,1.2,-100.9745,0.9,5.4,6.1,2.1,0.2,20,12,TXNet,earthquake,Western Texas,125,35,-117,337,59,-72,first motion,,,103.25331745321948,2017-10-12 21:16:17
texnet2017mceh,final,2017-06-21,22:52:04,3.3,,32.9471,0.4,-97.5790,0.4,3.3,3.5,0.8,0.3,99,56,TXNet,earthquake,Central Texas,86,52,-56,218,49,-125,first motion,,,403.68657164598,2017-10-12 21:13:52
texnet2017lytk,final,2017-06-20,01:57:27,2.4,,32.0920,1.3,-102.2479,0.9,0.0,0.9,0.9,0.4,29,21,TXNet,earthquake,Western Texas,104,37,-69,258,56,-105,first motion,,,199.67515233939,2017-10-13 21:02:13
